store,date,time,client
abc,04/09/2023,11:00 AM,ejones9
abc,04/09/2023,12:00 PM,
abc,04/09/2023,01:00 PM,rsmith7
abc,04/09/2023,02:00 PM,
abc,04/09/2023,03:00 PM,
abc,04/09/2023,04:00 PM,
abc,04/09/2023,05:00 PM,mgomez5
abc,04/10/2023,11:00 AM,
abc,04/10/2023,12:00 PM,
abc,04/10/2023,01:00 PM,
abc,04/10/2023,02:00 PM,
abc,04/10/2023,03:00 PM,
def,04/10/2023,04:00 PM,rsmith7
def,04/10/2023,05:00 PM,
def,04/11/2023,11:00 AM,ejones9
def,04/11/2023,12:00 PM,
def,04/11/2023,01:00 PM,rsmith7
def,04/11/2023,02:00 PM,
def,04/11/2023,03:00 PM,
def,04/11/2023,04:00 PM,
def,04/11/2023,05:00 PM,mgomez5
